"Notes"	"Month Day, Year"	"Month Day, Year Code"	"State"	"State Code"	Avg Daily Max Air Temperature (F)
	"Apr 23, 1985"	"1985/04/23"	"Georgia"	"13"	80.16
"Total"	"Apr 23, 1985"	"1985/04/23"			80.16
	"Apr 24, 1985"	"1985/04/24"	"Georgia"	"13"	81.07
"Total"	"Apr 24, 1985"	"1985/04/24"			81.07
	"Apr 25, 1985"	"1985/04/25"	"Georgia"	"13"	82.58
"Total"	"Apr 25, 1985"	"1985/04/25"			82.58
	"Apr 26, 1985"	"1985/04/26"	"Georgia"	"13"	85.29
"Total"	"Apr 26, 1985"	"1985/04/26"			85.29
	"Apr 27, 1985"	"1985/04/27"	"Georgia"	"13"	82.46
"Total"	"Apr 27, 1985"	"1985/04/27"			82.46
	"Apr 28, 1985"	"1985/04/28"	"Georgia"	"13"	83.63
"Total"	"Apr 28, 1985"	"1985/04/28"			83.63
	"Apr 29, 1985"	"1985/04/29"	"Georgia"	"13"	82.93
"Total"	"Apr 29, 1985"	"1985/04/29"			82.93
	"Apr 30, 1985"	"1985/04/30"	"Georgia"	"13"	80.81
"Total"	"Apr 30, 1985"	"1985/04/30"			80.81
	"May 01, 1985"	"1985/05/01"	"Georgia"	"13"	75.26
"Total"	"May 01, 1985"	"1985/05/01"			75.26
	"May 02, 1985"	"1985/05/02"	"Georgia"	"13"	76.77
"Total"	"May 02, 1985"	"1985/05/02"			76.77
	"May 03, 1985"	"1985/05/03"	"Georgia"	"13"	76.28
"Total"	"May 03, 1985"	"1985/05/03"			76.28
	"May 04, 1985"	"1985/05/04"	"Georgia"	"13"	72.50
"Total"	"May 04, 1985"	"1985/05/04"			72.50
	"May 05, 1985"	"1985/05/05"	"Georgia"	"13"	77.69
"Total"	"May 05, 1985"	"1985/05/05"			77.69
	"May 06, 1985"	"1985/05/06"	"Georgia"	"13"	82.33
"Total"	"May 06, 1985"	"1985/05/06"			82.33
	"May 07, 1985"	"1985/05/07"	"Georgia"	"13"	82.79
"Total"	"May 07, 1985"	"1985/05/07"			82.79
	"May 08, 1985"	"1985/05/08"	"Georgia"	"13"	74.52
"Total"	"May 08, 1985"	"1985/05/08"			74.52
	"May 09, 1985"	"1985/05/09"	"Georgia"	"13"	70.95
"Total"	"May 09, 1985"	"1985/05/09"			70.95
	"May 10, 1985"	"1985/05/10"	"Georgia"	"13"	80.38
"Total"	"May 10, 1985"	"1985/05/10"			80.38
	"May 11, 1985"	"1985/05/11"	"Georgia"	"13"	81.02
"Total"	"May 11, 1985"	"1985/05/11"			81.02
	"May 12, 1985"	"1985/05/12"	"Georgia"	"13"	83.04
"Total"	"May 12, 1985"	"1985/05/12"			83.04
	"May 13, 1985"	"1985/05/13"	"Georgia"	"13"	86.85
"Total"	"May 13, 1985"	"1985/05/13"			86.85
	"May 14, 1985"	"1985/05/14"	"Georgia"	"13"	87.90
"Total"	"May 14, 1985"	"1985/05/14"			87.90
	"May 15, 1985"	"1985/05/15"	"Georgia"	"13"	89.09
"Total"	"May 15, 1985"	"1985/05/15"			89.09
	"May 16, 1985"	"1985/05/16"	"Georgia"	"13"	82.41
"Total"	"May 16, 1985"	"1985/05/16"			82.41
	"May 17, 1985"	"1985/05/17"	"Georgia"	"13"	73.88
"Total"	"May 17, 1985"	"1985/05/17"			73.88
	"May 18, 1985"	"1985/05/18"	"Georgia"	"13"	75.61
"Total"	"May 18, 1985"	"1985/05/18"			75.61
	"May 19, 1985"	"1985/05/19"	"Georgia"	"13"	77.15
"Total"	"May 19, 1985"	"1985/05/19"			77.15
	"May 20, 1985"	"1985/05/20"	"Georgia"	"13"	80.98
"Total"	"May 20, 1985"	"1985/05/20"			80.98
	"May 21, 1985"	"1985/05/21"	"Georgia"	"13"	87.23
"Total"	"May 21, 1985"	"1985/05/21"			87.23
	"May 22, 1985"	"1985/05/22"	"Georgia"	"13"	85.62
"Total"	"May 22, 1985"	"1985/05/22"			85.62
	"May 23, 1985"	"1985/05/23"	"Georgia"	"13"	83.53
"Total"	"May 23, 1985"	"1985/05/23"			83.53
	"May 24, 1985"	"1985/05/24"	"Georgia"	"13"	79.27
"Total"	"May 24, 1985"	"1985/05/24"			79.27
	"May 25, 1985"	"1985/05/25"	"Georgia"	"13"	78.01
"Total"	"May 25, 1985"	"1985/05/25"			78.01
	"May 26, 1985"	"1985/05/26"	"Georgia"	"13"	82.52
"Total"	"May 26, 1985"	"1985/05/26"			82.52
	"May 27, 1985"	"1985/05/27"	"Georgia"	"13"	84.76
"Total"	"May 27, 1985"	"1985/05/27"			84.76
	"May 28, 1985"	"1985/05/28"	"Georgia"	"13"	85.10
"Total"	"May 28, 1985"	"1985/05/28"			85.10
	"May 29, 1985"	"1985/05/29"	"Georgia"	"13"	83.75
"Total"	"May 29, 1985"	"1985/05/29"			83.75
	"May 30, 1985"	"1985/05/30"	"Georgia"	"13"	86.65
"Total"	"May 30, 1985"	"1985/05/30"			86.65
	"May 31, 1985"	"1985/05/31"	"Georgia"	"13"	91.87
"Total"	"May 31, 1985"	"1985/05/31"			91.87
	"Jun 01, 1985"	"1985/06/01"	"Georgia"	"13"	94.09
"Total"	"Jun 01, 1985"	"1985/06/01"			94.09
	"Jun 02, 1985"	"1985/06/02"	"Georgia"	"13"	96.72
"Total"	"Jun 02, 1985"	"1985/06/02"			96.72
	"Jun 03, 1985"	"1985/06/03"	"Georgia"	"13"	97.49
"Total"	"Jun 03, 1985"	"1985/06/03"			97.49
	"Jun 04, 1985"	"1985/06/04"	"Georgia"	"13"	98.14
"Total"	"Jun 04, 1985"	"1985/06/04"			98.14
	"Jun 05, 1985"	"1985/06/05"	"Georgia"	"13"	97.76
"Total"	"Jun 05, 1985"	"1985/06/05"			97.76
	"Jun 06, 1985"	"1985/06/06"	"Georgia"	"13"	97.84
"Total"	"Jun 06, 1985"	"1985/06/06"			97.84
	"Jun 07, 1985"	"1985/06/07"	"Georgia"	"13"	94.30
"Total"	"Jun 07, 1985"	"1985/06/07"			94.30
	"Jun 08, 1985"	"1985/06/08"	"Georgia"	"13"	90.21
"Total"	"Jun 08, 1985"	"1985/06/08"			90.21
	"Jun 09, 1985"	"1985/06/09"	"Georgia"	"13"	92.28
"Total"	"Jun 09, 1985"	"1985/06/09"			92.28
	"Jun 10, 1985"	"1985/06/10"	"Georgia"	"13"	88.66
"Total"	"Jun 10, 1985"	"1985/06/10"			88.66
	"Jun 11, 1985"	"1985/06/11"	"Georgia"	"13"	88.62
"Total"	"Jun 11, 1985"	"1985/06/11"			88.62
	"Jun 12, 1985"	"1985/06/12"	"Georgia"	"13"	83.16
"Total"	"Jun 12, 1985"	"1985/06/12"			83.16
	"Jun 13, 1985"	"1985/06/13"	"Georgia"	"13"	78.34
"Total"	"Jun 13, 1985"	"1985/06/13"			78.34
	"Jun 14, 1985"	"1985/06/14"	"Georgia"	"13"	77.63
"Total"	"Jun 14, 1985"	"1985/06/14"			77.63
	"Jun 15, 1985"	"1985/06/15"	"Georgia"	"13"	81.68
"Total"	"Jun 15, 1985"	"1985/06/15"			81.68
	"Jun 16, 1985"	"1985/06/16"	"Georgia"	"13"	84.72
"Total"	"Jun 16, 1985"	"1985/06/16"			84.72
	"Jun 17, 1985"	"1985/06/17"	"Georgia"	"13"	87.81
"Total"	"Jun 17, 1985"	"1985/06/17"			87.81
	"Jun 18, 1985"	"1985/06/18"	"Georgia"	"13"	84.99
"Total"	"Jun 18, 1985"	"1985/06/18"			84.99
	"Jun 19, 1985"	"1985/06/19"	"Georgia"	"13"	84.08
"Total"	"Jun 19, 1985"	"1985/06/19"			84.08
	"Jun 20, 1985"	"1985/06/20"	"Georgia"	"13"	83.53
"Total"	"Jun 20, 1985"	"1985/06/20"			83.53
	"Jun 21, 1985"	"1985/06/21"	"Georgia"	"13"	86.51
"Total"	"Jun 21, 1985"	"1985/06/21"			86.51
	"Jun 22, 1985"	"1985/06/22"	"Georgia"	"13"	88.27
"Total"	"Jun 22, 1985"	"1985/06/22"			88.27
	"Jun 23, 1985"	"1985/06/23"	"Georgia"	"13"	87.76
"Total"	"Jun 23, 1985"	"1985/06/23"			87.76
	"Jun 24, 1985"	"1985/06/24"	"Georgia"	"13"	90.66
"Total"	"Jun 24, 1985"	"1985/06/24"			90.66
	"Jun 25, 1985"	"1985/06/25"	"Georgia"	"13"	89.77
"Total"	"Jun 25, 1985"	"1985/06/25"			89.77
	"Jun 26, 1985"	"1985/06/26"	"Georgia"	"13"	89.33
"Total"	"Jun 26, 1985"	"1985/06/26"			89.33
	"Jun 27, 1985"	"1985/06/27"	"Georgia"	"13"	88.46
"Total"	"Jun 27, 1985"	"1985/06/27"			88.46
	"Jun 28, 1985"	"1985/06/28"	"Georgia"	"13"	85.68
"Total"	"Jun 28, 1985"	"1985/06/28"			85.68
	"Jun 29, 1985"	"1985/06/29"	"Georgia"	"13"	85.35
"Total"	"Jun 29, 1985"	"1985/06/29"			85.35
	"Jun 30, 1985"	"1985/06/30"	"Georgia"	"13"	83.30
"Total"	"Jun 30, 1985"	"1985/06/30"			83.30
	"Jul 01, 1985"	"1985/07/01"	"Georgia"	"13"	82.47
"Total"	"Jul 01, 1985"	"1985/07/01"			82.47
	"Jul 02, 1985"	"1985/07/02"	"Georgia"	"13"	83.86
"Total"	"Jul 02, 1985"	"1985/07/02"			83.86
	"Jul 03, 1985"	"1985/07/03"	"Georgia"	"13"	87.75
"Total"	"Jul 03, 1985"	"1985/07/03"			87.75
	"Jul 04, 1985"	"1985/07/04"	"Georgia"	"13"	86.41
"Total"	"Jul 04, 1985"	"1985/07/04"			86.41
	"Jul 05, 1985"	"1985/07/05"	"Georgia"	"13"	81.48
"Total"	"Jul 05, 1985"	"1985/07/05"			81.48
	"Jul 06, 1985"	"1985/07/06"	"Georgia"	"13"	81.31
"Total"	"Jul 06, 1985"	"1985/07/06"			81.31
	"Jul 07, 1985"	"1985/07/07"	"Georgia"	"13"	85.68
"Total"	"Jul 07, 1985"	"1985/07/07"			85.68
	"Jul 08, 1985"	"1985/07/08"	"Georgia"	"13"	88.50
"Total"	"Jul 08, 1985"	"1985/07/08"			88.50
	"Jul 09, 1985"	"1985/07/09"	"Georgia"	"13"	92.15
"Total"	"Jul 09, 1985"	"1985/07/09"			92.15
	"Jul 10, 1985"	"1985/07/10"	"Georgia"	"13"	92.57
"Total"	"Jul 10, 1985"	"1985/07/10"			92.57
	"Jul 11, 1985"	"1985/07/11"	"Georgia"	"13"	93.16
"Total"	"Jul 11, 1985"	"1985/07/11"			93.16
	"Jul 12, 1985"	"1985/07/12"	"Georgia"	"13"	90.96
"Total"	"Jul 12, 1985"	"1985/07/12"			90.96
	"Jul 13, 1985"	"1985/07/13"	"Georgia"	"13"	89.52
"Total"	"Jul 13, 1985"	"1985/07/13"			89.52
	"Jul 14, 1985"	"1985/07/14"	"Georgia"	"13"	87.93
"Total"	"Jul 14, 1985"	"1985/07/14"			87.93
	"Jul 15, 1985"	"1985/07/15"	"Georgia"	"13"	87.83
"Total"	"Jul 15, 1985"	"1985/07/15"			87.83
	"Jul 16, 1985"	"1985/07/16"	"Georgia"	"13"	88.90
"Total"	"Jul 16, 1985"	"1985/07/16"			88.90
	"Jul 17, 1985"	"1985/07/17"	"Georgia"	"13"	86.39
"Total"	"Jul 17, 1985"	"1985/07/17"			86.39
	"Jul 18, 1985"	"1985/07/18"	"Georgia"	"13"	88.82
"Total"	"Jul 18, 1985"	"1985/07/18"			88.82
	"Jul 19, 1985"	"1985/07/19"	"Georgia"	"13"	90.45
"Total"	"Jul 19, 1985"	"1985/07/19"			90.45
	"Jul 20, 1985"	"1985/07/20"	"Georgia"	"13"	90.73
"Total"	"Jul 20, 1985"	"1985/07/20"			90.73
	"Jul 21, 1985"	"1985/07/21"	"Georgia"	"13"	90.09
"Total"	"Jul 21, 1985"	"1985/07/21"			90.09
	"Jul 22, 1985"	"1985/07/22"	"Georgia"	"13"	90.71
"Total"	"Jul 22, 1985"	"1985/07/22"			90.71
	"Jul 23, 1985"	"1985/07/23"	"Georgia"	"13"	87.87
"Total"	"Jul 23, 1985"	"1985/07/23"			87.87
	"Jul 24, 1985"	"1985/07/24"	"Georgia"	"13"	83.50
"Total"	"Jul 24, 1985"	"1985/07/24"			83.50
	"Jul 25, 1985"	"1985/07/25"	"Georgia"	"13"	84.40
"Total"	"Jul 25, 1985"	"1985/07/25"			84.40
	"Jul 26, 1985"	"1985/07/26"	"Georgia"	"13"	86.29
"Total"	"Jul 26, 1985"	"1985/07/26"			86.29
	"Jul 27, 1985"	"1985/07/27"	"Georgia"	"13"	85.63
"Total"	"Jul 27, 1985"	"1985/07/27"			85.63
	"Jul 28, 1985"	"1985/07/28"	"Georgia"	"13"	84.73
"Total"	"Jul 28, 1985"	"1985/07/28"			84.73
	"Jul 29, 1985"	"1985/07/29"	"Georgia"	"13"	86.56
"Total"	"Jul 29, 1985"	"1985/07/29"			86.56
	"Jul 30, 1985"	"1985/07/30"	"Georgia"	"13"	86.73
"Total"	"Jul 30, 1985"	"1985/07/30"			86.73
	"Jul 31, 1985"	"1985/07/31"	"Georgia"	"13"	87.06
"Total"	"Jul 31, 1985"	"1985/07/31"			87.06
	"Aug 01, 1985"	"1985/08/01"	"Georgia"	"13"	88.97
"Total"	"Aug 01, 1985"	"1985/08/01"			88.97
	"Aug 02, 1985"	"1985/08/02"	"Georgia"	"13"	83.96
"Total"	"Aug 02, 1985"	"1985/08/02"			83.96
	"Aug 03, 1985"	"1985/08/03"	"Georgia"	"13"	81.27
"Total"	"Aug 03, 1985"	"1985/08/03"			81.27
	"Aug 04, 1985"	"1985/08/04"	"Georgia"	"13"	83.57
"Total"	"Aug 04, 1985"	"1985/08/04"			83.57
	"Aug 05, 1985"	"1985/08/05"	"Georgia"	"13"	83.38
"Total"	"Aug 05, 1985"	"1985/08/05"			83.38
	"Aug 06, 1985"	"1985/08/06"	"Georgia"	"13"	82.34
"Total"	"Aug 06, 1985"	"1985/08/06"			82.34
	"Aug 07, 1985"	"1985/08/07"	"Georgia"	"13"	83.88
"Total"	"Aug 07, 1985"	"1985/08/07"			83.88
	"Aug 08, 1985"	"1985/08/08"	"Georgia"	"13"	83.06
"Total"	"Aug 08, 1985"	"1985/08/08"			83.06
	"Aug 09, 1985"	"1985/08/09"	"Georgia"	"13"	84.01
"Total"	"Aug 09, 1985"	"1985/08/09"			84.01
	"Aug 10, 1985"	"1985/08/10"	"Georgia"	"13"	85.74
"Total"	"Aug 10, 1985"	"1985/08/10"			85.74
	"Aug 11, 1985"	"1985/08/11"	"Georgia"	"13"	89.10
"Total"	"Aug 11, 1985"	"1985/08/11"			89.10
	"Aug 12, 1985"	"1985/08/12"	"Georgia"	"13"	88.76
"Total"	"Aug 12, 1985"	"1985/08/12"			88.76
	"Aug 13, 1985"	"1985/08/13"	"Georgia"	"13"	89.43
"Total"	"Aug 13, 1985"	"1985/08/13"			89.43
	"Aug 14, 1985"	"1985/08/14"	"Georgia"	"13"	87.55
"Total"	"Aug 14, 1985"	"1985/08/14"			87.55
	"Aug 15, 1985"	"1985/08/15"	"Georgia"	"13"	88.21
"Total"	"Aug 15, 1985"	"1985/08/15"			88.21
	"Aug 16, 1985"	"1985/08/16"	"Georgia"	"13"	88.04
"Total"	"Aug 16, 1985"	"1985/08/16"			88.04
	"Aug 17, 1985"	"1985/08/17"	"Georgia"	"13"	86.15
"Total"	"Aug 17, 1985"	"1985/08/17"			86.15
	"Aug 18, 1985"	"1985/08/18"	"Georgia"	"13"	89.80
"Total"	"Aug 18, 1985"	"1985/08/18"			89.80
	"Aug 19, 1985"	"1985/08/19"	"Georgia"	"13"	91.09
"Total"	"Aug 19, 1985"	"1985/08/19"			91.09
	"Aug 20, 1985"	"1985/08/20"	"Georgia"	"13"	88.81
"Total"	"Aug 20, 1985"	"1985/08/20"			88.81
	"Aug 21, 1985"	"1985/08/21"	"Georgia"	"13"	88.66
"Total"	"Aug 21, 1985"	"1985/08/21"			88.66
	"Aug 22, 1985"	"1985/08/22"	"Georgia"	"13"	89.80
"Total"	"Aug 22, 1985"	"1985/08/22"			89.80
	"Aug 23, 1985"	"1985/08/23"	"Georgia"	"13"	87.63
"Total"	"Aug 23, 1985"	"1985/08/23"			87.63
	"Aug 24, 1985"	"1985/08/24"	"Georgia"	"13"	86.08
"Total"	"Aug 24, 1985"	"1985/08/24"			86.08
	"Aug 25, 1985"	"1985/08/25"	"Georgia"	"13"	82.99
"Total"	"Aug 25, 1985"	"1985/08/25"			82.99
	"Aug 26, 1985"	"1985/08/26"	"Georgia"	"13"	84.28
"Total"	"Aug 26, 1985"	"1985/08/26"			84.28
	"Aug 27, 1985"	"1985/08/27"	"Georgia"	"13"	88.36
"Total"	"Aug 27, 1985"	"1985/08/27"			88.36
	"Aug 28, 1985"	"1985/08/28"	"Georgia"	"13"	82.53
"Total"	"Aug 28, 1985"	"1985/08/28"			82.53
	"Aug 29, 1985"	"1985/08/29"	"Georgia"	"13"	86.23
"Total"	"Aug 29, 1985"	"1985/08/29"			86.23
	"Aug 30, 1985"	"1985/08/30"	"Georgia"	"13"	85.76
"Total"	"Aug 30, 1985"	"1985/08/30"			85.76
	"Aug 31, 1985"	"1985/08/31"	"Georgia"	"13"	83.08
"Total"	"Aug 31, 1985"	"1985/08/31"			83.08
	"Sep 01, 1985"	"1985/09/01"	"Georgia"	"13"	83.06
"Total"	"Sep 01, 1985"	"1985/09/01"			83.06
	"Sep 02, 1985"	"1985/09/02"	"Georgia"	"13"	87.07
"Total"	"Sep 02, 1985"	"1985/09/02"			87.07
	"Sep 03, 1985"	"1985/09/03"	"Georgia"	"13"	87.67
"Total"	"Sep 03, 1985"	"1985/09/03"			87.67
	"Sep 04, 1985"	"1985/09/04"	"Georgia"	"13"	86.67
"Total"	"Sep 04, 1985"	"1985/09/04"			86.67
	"Sep 05, 1985"	"1985/09/05"	"Georgia"	"13"	86.10
"Total"	"Sep 05, 1985"	"1985/09/05"			86.10
	"Sep 06, 1985"	"1985/09/06"	"Georgia"	"13"	85.41
"Total"	"Sep 06, 1985"	"1985/09/06"			85.41
	"Sep 07, 1985"	"1985/09/07"	"Georgia"	"13"	87.44
"Total"	"Sep 07, 1985"	"1985/09/07"			87.44
	"Sep 08, 1985"	"1985/09/08"	"Georgia"	"13"	87.26
"Total"	"Sep 08, 1985"	"1985/09/08"			87.26
	"Sep 09, 1985"	"1985/09/09"	"Georgia"	"13"	86.99
"Total"	"Sep 09, 1985"	"1985/09/09"			86.99
	"Sep 10, 1985"	"1985/09/10"	"Georgia"	"13"	89.27
"Total"	"Sep 10, 1985"	"1985/09/10"			89.27
	"Sep 11, 1985"	"1985/09/11"	"Georgia"	"13"	89.48
"Total"	"Sep 11, 1985"	"1985/09/11"			89.48
	"Sep 12, 1985"	"1985/09/12"	"Georgia"	"13"	86.42
"Total"	"Sep 12, 1985"	"1985/09/12"			86.42
	"Sep 13, 1985"	"1985/09/13"	"Georgia"	"13"	77.76
"Total"	"Sep 13, 1985"	"1985/09/13"			77.76
	"Sep 14, 1985"	"1985/09/14"	"Georgia"	"13"	71.28
"Total"	"Sep 14, 1985"	"1985/09/14"			71.28
	"Sep 15, 1985"	"1985/09/15"	"Georgia"	"13"	74.59
"Total"	"Sep 15, 1985"	"1985/09/15"			74.59
	"Sep 16, 1985"	"1985/09/16"	"Georgia"	"13"	77.33
"Total"	"Sep 16, 1985"	"1985/09/16"			77.33
	"Sep 17, 1985"	"1985/09/17"	"Georgia"	"13"	78.09
"Total"	"Sep 17, 1985"	"1985/09/17"			78.09
	"Sep 18, 1985"	"1985/09/18"	"Georgia"	"13"	79.76
"Total"	"Sep 18, 1985"	"1985/09/18"			79.76
	"Sep 19, 1985"	"1985/09/19"	"Georgia"	"13"	81.82
"Total"	"Sep 19, 1985"	"1985/09/19"			81.82
	"Sep 20, 1985"	"1985/09/20"	"Georgia"	"13"	83.14
"Total"	"Sep 20, 1985"	"1985/09/20"			83.14
	"Sep 21, 1985"	"1985/09/21"	"Georgia"	"13"	81.42
"Total"	"Sep 21, 1985"	"1985/09/21"			81.42
	"Sep 22, 1985"	"1985/09/22"	"Georgia"	"13"	81.60
"Total"	"Sep 22, 1985"	"1985/09/22"			81.60
	"Sep 23, 1985"	"1985/09/23"	"Georgia"	"13"	80.02
"Total"	"Sep 23, 1985"	"1985/09/23"			80.02
	"Sep 24, 1985"	"1985/09/24"	"Georgia"	"13"	83.28
"Total"	"Sep 24, 1985"	"1985/09/24"			83.28
	"Sep 25, 1985"	"1985/09/25"	"Georgia"	"13"	85.74
"Total"	"Sep 25, 1985"	"1985/09/25"			85.74
	"Sep 26, 1985"	"1985/09/26"	"Georgia"	"13"	83.11
"Total"	"Sep 26, 1985"	"1985/09/26"			83.11
	"Sep 27, 1985"	"1985/09/27"	"Georgia"	"13"	73.22
"Total"	"Sep 27, 1985"	"1985/09/27"			73.22
	"Sep 28, 1985"	"1985/09/28"	"Georgia"	"13"	75.82
"Total"	"Sep 28, 1985"	"1985/09/28"			75.82
	"Sep 29, 1985"	"1985/09/29"	"Georgia"	"13"	80.01
"Total"	"Sep 29, 1985"	"1985/09/29"			80.01
	"Sep 30, 1985"	"1985/09/30"	"Georgia"	"13"	82.54
"Total"	"Sep 30, 1985"	"1985/09/30"			82.54
	"Oct 01, 1985"	"1985/10/01"	"Georgia"	"13"	77.36
"Total"	"Oct 01, 1985"	"1985/10/01"			77.36
	"Oct 02, 1985"	"1985/10/02"	"Georgia"	"13"	77.02
"Total"	"Oct 02, 1985"	"1985/10/02"			77.02
	"Oct 03, 1985"	"1985/10/03"	"Georgia"	"13"	80.12
"Total"	"Oct 03, 1985"	"1985/10/03"			80.12
	"Oct 04, 1985"	"1985/10/04"	"Georgia"	"13"	83.21
"Total"	"Oct 04, 1985"	"1985/10/04"			83.21
	"Oct 05, 1985"	"1985/10/05"	"Georgia"	"13"	75.72
"Total"	"Oct 05, 1985"	"1985/10/05"			75.72
	"Oct 06, 1985"	"1985/10/06"	"Georgia"	"13"	66.40
"Total"	"Oct 06, 1985"	"1985/10/06"			66.40
	"Oct 07, 1985"	"1985/10/07"	"Georgia"	"13"	70.40
"Total"	"Oct 07, 1985"	"1985/10/07"			70.40
	"Oct 08, 1985"	"1985/10/08"	"Georgia"	"13"	74.04
"Total"	"Oct 08, 1985"	"1985/10/08"			74.04
	"Oct 09, 1985"	"1985/10/09"	"Georgia"	"13"	80.28
"Total"	"Oct 09, 1985"	"1985/10/09"			80.28
	"Oct 10, 1985"	"1985/10/10"	"Georgia"	"13"	80.17
"Total"	"Oct 10, 1985"	"1985/10/10"			80.17
	"Oct 11, 1985"	"1985/10/11"	"Georgia"	"13"	82.31
"Total"	"Oct 11, 1985"	"1985/10/11"			82.31
	"Oct 12, 1985"	"1985/10/12"	"Georgia"	"13"	83.76
"Total"	"Oct 12, 1985"	"1985/10/12"			83.76
	"Oct 13, 1985"	"1985/10/13"	"Georgia"	"13"	82.48
"Total"	"Oct 13, 1985"	"1985/10/13"			82.48
	"Oct 14, 1985"	"1985/10/14"	"Georgia"	"13"	85.38
"Total"	"Oct 14, 1985"	"1985/10/14"			85.38
	"Oct 15, 1985"	"1985/10/15"	"Georgia"	"13"	84.34
"Total"	"Oct 15, 1985"	"1985/10/15"			84.34
	"Oct 16, 1985"	"1985/10/16"	"Georgia"	"13"	82.61
"Total"	"Oct 16, 1985"	"1985/10/16"			82.61
	"Oct 17, 1985"	"1985/10/17"	"Georgia"	"13"	79.35
"Total"	"Oct 17, 1985"	"1985/10/17"			79.35
	"Oct 18, 1985"	"1985/10/18"	"Georgia"	"13"	79.95
"Total"	"Oct 18, 1985"	"1985/10/18"			79.95
	"Oct 19, 1985"	"1985/10/19"	"Georgia"	"13"	82.39
"Total"	"Oct 19, 1985"	"1985/10/19"			82.39
	"Oct 20, 1985"	"1985/10/20"	"Georgia"	"13"	83.58
"Total"	"Oct 20, 1985"	"1985/10/20"			83.58
	"Oct 21, 1985"	"1985/10/21"	"Georgia"	"13"	81.78
"Total"	"Oct 21, 1985"	"1985/10/21"			81.78
	"Oct 22, 1985"	"1985/10/22"	"Georgia"	"13"	76.20
"Total"	"Oct 22, 1985"	"1985/10/22"			76.20
	"Oct 23, 1985"	"1985/10/23"	"Georgia"	"13"	79.81
"Total"	"Oct 23, 1985"	"1985/10/23"			79.81
	"Oct 24, 1985"	"1985/10/24"	"Georgia"	"13"	79.27
"Total"	"Oct 24, 1985"	"1985/10/24"			79.27
	"Oct 25, 1985"	"1985/10/25"	"Georgia"	"13"	80.53
"Total"	"Oct 25, 1985"	"1985/10/25"			80.53
	"Oct 26, 1985"	"1985/10/26"	"Georgia"	"13"	78.63
"Total"	"Oct 26, 1985"	"1985/10/26"			78.63
	"Oct 27, 1985"	"1985/10/27"	"Georgia"	"13"	69.98
"Total"	"Oct 27, 1985"	"1985/10/27"			69.98
	"Oct 28, 1985"	"1985/10/28"	"Georgia"	"13"	74.27
"Total"	"Oct 28, 1985"	"1985/10/28"			74.27
	"Oct 29, 1985"	"1985/10/29"	"Georgia"	"13"	66.39
"Total"	"Oct 29, 1985"	"1985/10/29"			66.39
	"Oct 30, 1985"	"1985/10/30"	"Georgia"	"13"	65.03
"Total"	"Oct 30, 1985"	"1985/10/30"			65.03
	"Oct 31, 1985"	"1985/10/31"	"Georgia"	"13"	72.05
"Total"	"Oct 31, 1985"	"1985/10/31"			72.05
	"Nov 01, 1985"	"1985/11/01"	"Georgia"	"13"	70.63
"Total"	"Nov 01, 1985"	"1985/11/01"			70.63
	"Nov 02, 1985"	"1985/11/02"	"Georgia"	"13"	71.65
"Total"	"Nov 02, 1985"	"1985/11/02"			71.65
	"Nov 03, 1985"	"1985/11/03"	"Georgia"	"13"	72.03
"Total"	"Nov 03, 1985"	"1985/11/03"			72.03
	"Nov 04, 1985"	"1985/11/04"	"Georgia"	"13"	62.35
"Total"	"Nov 04, 1985"	"1985/11/04"			62.35
	"Nov 05, 1985"	"1985/11/05"	"Georgia"	"13"	55.86
"Total"	"Nov 05, 1985"	"1985/11/05"			55.86
	"Nov 06, 1985"	"1985/11/06"	"Georgia"	"13"	65.16
"Total"	"Nov 06, 1985"	"1985/11/06"			65.16
	"Nov 07, 1985"	"1985/11/07"	"Georgia"	"13"	67.14
"Total"	"Nov 07, 1985"	"1985/11/07"			67.14
	"Nov 08, 1985"	"1985/11/08"	"Georgia"	"13"	63.93
"Total"	"Nov 08, 1985"	"1985/11/08"			63.93
	"Nov 09, 1985"	"1985/11/09"	"Georgia"	"13"	71.46
"Total"	"Nov 09, 1985"	"1985/11/09"			71.46
	"Nov 10, 1985"	"1985/11/10"	"Georgia"	"13"	76.07
"Total"	"Nov 10, 1985"	"1985/11/10"			76.07
	"Nov 11, 1985"	"1985/11/11"	"Georgia"	"13"	77.89
"Total"	"Nov 11, 1985"	"1985/11/11"			77.89
	"Nov 12, 1985"	"1985/11/12"	"Georgia"	"13"	76.50
"Total"	"Nov 12, 1985"	"1985/11/12"			76.50
	"Nov 13, 1985"	"1985/11/13"	"Georgia"	"13"	79.38
"Total"	"Nov 13, 1985"	"1985/11/13"			79.38
	"Nov 14, 1985"	"1985/11/14"	"Georgia"	"13"	80.00
"Total"	"Nov 14, 1985"	"1985/11/14"			80.00
	"Nov 15, 1985"	"1985/11/15"	"Georgia"	"13"	80.63
"Total"	"Nov 15, 1985"	"1985/11/15"			80.63
	"Nov 16, 1985"	"1985/11/16"	"Georgia"	"13"	79.03
"Total"	"Nov 16, 1985"	"1985/11/16"			79.03
	"Nov 17, 1985"	"1985/11/17"	"Georgia"	"13"	77.47
"Total"	"Nov 17, 1985"	"1985/11/17"			77.47
	"Nov 18, 1985"	"1985/11/18"	"Georgia"	"13"	80.34
